,Purpose Code,Categorization
1029,IE-BRANNON-VIDEO ADS,media
6616,T-SHIRTS AND MAILERS FOR CANVASSING,field
545,VOTER OUTREACH CALLS,polling
307,DEBT PAYMENT FOR SALARY OTHER CANVASS ACTIVITY IN KINDED TO FLORIDA FREEDOM PAC FROM 9 1 10 5,field
1408,PAC PRINTING AND POSTAGE AND DIGITAL ADVERTISING EXPENSE.,digital
7279,MEDIA PRODUCTION FOR NATIONAL CABLE BUY ON FOX NEWS - ALSO OPPOSE TRUMP,media
2816,MAIL 'NY-18' 'HAYWORTH 2',media
7474,COMMUNICATIONS PREP,media
2477,POSTAGE FOR MAILING RAND PAUL FOR PRESIDENT BUMPERSTICKERS,field
733,LEGAL SERVICES APRIL,legal
4968,PRODUCTION (DUTY),media
1097,MEDIA PRODUCTION - ALSO OPPOSES TRUMP,media
800,POLLING,polling
7354,MAILING 'HERE' PIECE,media
7650,TALENT FOR TV AD,media
828,POLL,polling
759,AUDIO VISUAL PROGRAMMING,media
6564,NEWSPAPER AD - AL,media
319,PRINTING & OFFICE EXPENSES,administrative
714,REIMBURSEMENT FOR EVENTS,misc
116,GENERIC CMTE RENT OCCUPANCY,administrative
6977,DIRECT MAIL-PRIMARY GA-03,fundraising
5240,ONLINE DIGITAL BUYS,digital
1484,TELEVISION PRODUCTION AND MEDIA BUY - LEADERSHIP II,media
6254,VOTER GUIDE MAILING,field
2864,IE MAIL ADVERTISING - NON CONTRIBUTION ACCOUNT,media
2357,"WEB AD PRODUCTION, DELIVERY, AND STRATEGY",digital
2708,IE-MANESS-EMAIL LIST RENTAL,digital
622,ACCOUNTING SVCS RENDERED,legal
5527,PHONE / MAIL COMMUNICATION,administrative
1223,IE-MCDANIEL-PHONE SCRIPT PRODUCTION,media
1260,MAILER (CRONYISM),media
35,WEB AD PLACEMENT (EARLY VOTING LOUISIANA),digital
2722,IE-AKIN-EMAIL LIST RENTAL,digital
2731,STAFF TIME RELATED TO PRINT AND DIGITAL ADVERTISEMENT PRODUCTION,digital
6251,IE-MILLER-BUMPER STICKERS,field
2370,FULFILLMENT ITEMS - BOOKLETS,administrative
5107,TELEVISION BUY AND PRODUCTION COST - FAILURE,media
7261,LABELS FOR COLLATERAL MATERIAL,administrative
6956,"POSTAGE, FLIER",media
6862,ADDITIONAL BUSINESS REPLY MAIL PAYMENT,administrative
499,ON LINE FUNDRAISING SERVICES,fundraising
4857,TV AD PLACEMENT: TRICK-ADLER,media
201,LODGING FOR S. MCDADE,administrative
340,ONLINE ADVERTISING-ESTIMATED COST,digital
200,LIST RENTAL,fundraising
621,COMPLIANCE AND ACCOUNTING SERVICES,legal
6102,TV AD PLACEMENT ('FLOOD OF LIES'),media
2230,IE-OBAMA-ESTIMATED STAFF & OVERHEAD,administrative
1824,IE-LILJENQUIST-DOOR HANGERS/YARD SIGNS,field
478,MAILERS,media
4424,DIRECT MAIL SERVICES; DISSEMINATION DATE 05/18/16,fundraising
1107,ESTIMATED COST FOR ADVERTISING PRODUCTION,media
4401,MOBILE AD PRODUCTION AND PLACEMENT,digital
12,"TV AND DIGITAL ADVERTISEMENT HUB SUPPORTING TERRI LYNN LAND, 4/30 - 5/13.",digital
5454,MILEAGE REIMB,travel
4600,DATA PROCESSING ESTIMATE OF DM OPPOSING HILLARY CLINTON. DMS SENT ON 2/12/16.,digital
640,AUDIO VISUAL RENTAL,media
2604,MOBILE ADVERTISING (ALSO OPPOSES NITA LOWEY),digital
4077,REVERSE PHONEBANKING - REPORTED TO WRONG VENDOR,polling
6115,IE-MACK-VOTER MAIL,field
3899,ON-LINE AD BUYS,digital
2013,DIGITAL WED AD PLACEMENT (CAN'T AFFORD KATIE),digital
3308,TELEVISION ADVERTISING (PRODUCTION COSTS),media
2844,RADIO AIRTIME-NAN HAYWORTH,media
913,TRAVEL SERVICE PAYMENT,travel
4203,ESTIMATE OF NOVEMBER MONTHLY FACEBOOK ADVERTISING,digital
2084,CATHERINE AGAINST NEVADA IN-KIND CONTRIBUTION: COMMUNICATIONS,administrative
3777,FULFILLMENT ITEMS - CLOTHING & COINS,field
76,BINGO PRIZE,administrative
7824,COMPUTER/INTERNET/PHONE USAGE,administrative
434,TV MEDIA PLACEMENT DEPOSIT,media
6443,DIRECT MAIL - POSTAGE & PROCDUCTION,fundraising
1382,8/4 ONLINE ADVERTISING,digital
5819,DIGITAL MEDIA PRODUCTION/PLACEMENT- NORTH CAROLINA,digital
2676,DESIGN FOR TV AD TO AIR 10/15/12 IN NEVADA AROUND THE PRESIDENTIAL ELECTION.,media
4992,BANNER ADS,media
3079,EMPLOYEE SALARY FOR GROUND CAMPAGIN (5/21/12 - 5/27/12),field
4067,SAG FEES,travel
6512,TISEI VS MOULTON MAILERS,media
2067,STAFF TIME FOR REVIEW OF BLOG CONTENT,digital
2720,MAIL BUNDLING APPEAL-PROOFREADING,administrative
6295,PHOTOS,administrative
693,TICKETS TO EVENTS,misc
3117,TELEVISION PRODUCTION AND MEDIA BUY - RECORD OF FAILURE,media
512,ADVERTISING TELEVISION ADVERTISING,media
701,TV MEDIA - 'LOOPHOLE',media
3840,DIGITAL MEDIA PRODUCTION & PLACEMENT - NC ELECTION DAY,digital
4256,MAILERS (EX-IM (CORPORATE WELFARE)),media
3743,FOOD & GAS CARDS,travel
818,AIR FARE,travel
6359,FLIERS FOR RAND PAUL FOR PRES. BUMPER STICKER MAILING,media
253,ADMINISTRATIVE CONSULTING,consulting
5035,CANVASS MATERIALS - DISTRIBUTED BEGINNING 08/09/2013,field
520,IE-MANESS-PHONE PROCESSING,administrative
581,REPAYMENT OF CAMPAIGN COMMITTEE LOAN,fundraising
1787,PRINTING PLEDGE TO VOTE CARDS,field
4181,MEDIA BUY - TV/CABLE,media
3024,ESTIMATED OUTBOUND VOTER CONTACT CALLS FOR JULY,field
1519,EMAIL CAMPAIGN,digital
124,SEE MEMOS,administrative
263,MOBILE AD BUY.,digital
7317,AD VIDEO PRODUCTION & EQUIPMENT RENTAL,media
3611,IE-CRUZ-SPEAKER FEE/TRAVEL,travel
3413,DATA SERVICES PHONE LIST,polling
689,STAFF TIME SPENT ON LEGAL AND ACCOUNTING SERVICES,legal
589,FUNDRAISING SERVICES FOR PAC,fundraising
4793,PAC SIGN PRINTING,field
697,IE-DAVIDSON-DONATION PROCESSING,administrative
4396,IN-KIND GOOGLE ADWORKS ADVOCACY,digital
7450,IE-MOURDOCK-BUMPER STICKERS,field
349,COMMUNICATIONS STRATEGY CONSULTING,consulting
6637,PRINTING AND MAILING  ON 10/4,administrative
3175,"DIRECT MAIL DESIGN/LAYOUT, PRINTING PRODUCTION, MAIL SERVICE & POSTAGE",fundraising
4536,11/6 TO 11/8 ONLINE ADVERTISING,digital
421,PRINTING AND MAILING  ON 9/30,administrative
718,TOWN HALL TELECONFERENCE,field
7847,MAIL PIECE-AMERISH BERA,media
2515,POSTAGE FOR MAILERS ('BAYH CRONYISM'),media
1243,TELEVISION AND ONLINE VIDEO ADS,digital
999,TRAVEL MEALS LODGING,travel
291,MAILER SUPPORTING HALVORSON,media
221,STRATEGIC CONSULTING SERVICES,consulting
7185,NEWSPAPER AD -IL,media
5319,COPY WRITING,legal
4826,PRINT ADVERTISMENTS,media
305,RADIO ADVERTISING IE 5/1,media
303,VOTER MAIL,field
6516,PRINTING AND SHIPPING - CAMPAIGN BUTTONS AND STICKERS,field
2273,POSTAGE -  ZACH SPACE THE SPENDIFICENT,administrative
6846,PRODUCTION COSTS.,media
777,JFC AUDIO VISUAL,misc
897,VAN ACCESS,travel
244,RADIO SPOT ADVERTISING,media
1292,FURNITURE PURCHASE (MEMO ENTRY),administrative
4118,NEWSPAPER AD - WV,media
2429,ONE THIRD OF 3/12 TV BUY,media
5821,TV ADVERTISING (PRODUCTION),media
2216,ROBOCALLS - NATIONALLY DISTRIBUTED,field
48,ONLINE ADS,digital
3530,PRODUCTION OF MAIL PIECE,media
7024,VOTER CONTACT EMAILS OVER SEVERAL WEEKS,digital
425,PAID MEDIA,media
1736,IE-HOVDE-ONLINE ADS,digital
1799,STAFF TIME ON SOCIAL MEDIA POSTS (ALSO OPPOSING DONALD TRUMP),digital
643,SOUND MUSIC EQUIPTMENT FOR CAMPAING EVENTS,misc
2496,PHONE BANK - 10/24/2010,polling
137,CREDIT CARD MERCHANT FEES,administrative
5613,IE-FLAKE-WALKING MAPS,field
4564,T-SHIRTS (ESTIMATE),field
832,FILE MAINTENANCE,polling
7152,CONSULTS - DIRECT MAIL,consulting
3866,PAC AD PRODUCTION,media
2546,ESTIMATED COST FOR DIRECT MAIL PRODUCTION,fundraising
4860,IE-MCDANIEL-YARD SIGNS/STICKERS,field
48,"STAFF TIME FOR PRESS RELEASE, 10/7/14",media
4168,DIRECT MAIL - 'PROVEN RECORD',fundraising
576,PAC DIRECT MAIL FUNDRAISING,fundraising
5993,ESTIMATED POSTAGE FEES,administrative
4070,PREDICTIVE DIALER MINUTES-PERSUASION,polling
4912,MEDIA PRODUCTION FOR 10/13/13 NEW JERSEY AD,media
964,MEDIA PRODUCTION - ALSO OPPOSES RUBIO KASICH AND CHRISTIE,media
7414,TV ADS 'ROOSTER',media
5452,ESTIMATE: MAILER - PROOFREADING,media
1679,LIST RENTAL FOR ROBO CALLS,field
181,DIGITAL WEB AD PLACEMENT (OBAMACARE),digital
2539,DIRECT MAIL OF 'NEW YEARS' - ESTIMATE,fundraising
5960,POSTAGE MAIL #1,administrative
6508,MAILING SERVICE,administrative
5824,3 WEEKS OF RADIO IN TUCSON MARKET,media
4282,"PRINTING, DESIGN, DATA, POSTAGE AND CONSULTING",consulting
1745,PRINTING - CAMPAIGN T-SHIRTS,field
307,MAIL 'NY-27' 'COLLINS 6',administrative
5784,"MAGAZINE ARTICLE, PRINTING AND SHIPPING (NATIONALLY DISSEMINATED)",media
377,PAC FUNDRAISING CONSULTING FEES,consulting
4751,CABLE PLACEMENT,administrative
564,ADVERTISING ADVERTISING,media
816,"MAIL DESIGN, PRINTING, PHOTOGRAPHY ,HANDLING, FEE & POSTAGE",media
6954,OBAMA VIDEO,media
6062,RENTAL OF PUBLIC ADDRESS SYSTEM FOR RALLY,field
4399,ROBOCALL - DOBSON,field
1201,TV ADVERTISING - MEDIA BUYS,media
558,RADIO BUY,media
171,ONLINE AD,digital
6535,EST. PAYMENT FOR SALARY AND OTHER CANVASS-RELATED EXPENSES FROM 9/6-9/30,field
669,AMEX PMT SB1723144 AUDIO VISUAL SERVICES,media
1916,SAMPLE BALLOTS,polling
1647,MEDIA PLACEMENT FOR ADS,media
242,AUTOMATED CALLS,field
6909,MEDIA AIRTIME,media
856,TRAVEL HOTEL,travel
274,PHONE CALLS AND DATA,polling
252,CAMPAIGN MANAGEMENT CONSULTING,consulting
5184,PRODUCTION AND SHIPPING OF TV AD TO BEGIN AIRING 11/1/14,media
1644,TV AD PLACEMENT: A NEW PATH,media
110,DIGITAL AD PRODUCTION AND PLACEMENT,digital
826,ONLINE ADVERTISING - STUDENTS4NUNN,digital
5754,DIRTY DOZEN ANNOUCEMENT,misc
2897,ONLINE ADS - FILIPINO ANIMALS - NON-CONTRIBUTION ACCOUNT,digital
996,ESTIMATED TOTAL 2ND ROUND OF PHONE BANKING,polling
2028,"MAIL DESIGN, STOCK, PRINTING, PRODUCTION & POSTAGE",media
982,PRO-TITUS MESSAGING/COMMUNICATION,administrative
7667,"TV AND DIGITAL ADVERTISEMENT LEARN OPPOSING TED STRICKLAND, 7/7 - 7/16.",digital
1300,IE-BEVIN-DIRECT MAIL PRODUCTION,fundraising
321,STRATEGIC CONSULTING TRAVEL,consulting
769,LEGAL COMPLIANCE FEE,legal
4902,SOUND SET-UP FOR METAIRIE EVENT,field
839,ADVERTISING - PLACEMENT OF WEB ADS (NEW IDEAS & TICK TOCK),digital
2665,IE-LOVE-VOTER ID MAILING,field
3636,IE-LANDRY-DIRECT MAIL,fundraising
2246,MEDIA BUY-DISEMINATED 7/31/12,media
1329,PRINTING DOOR HANGERS,field
881,PHONE BANK ESTIMATE,polling
5313,"MAIL DESIGN, PRODUCTION & POSTAGE - GEORGE PHILLIPS",media
6672,CANVASSING CONSULTING FEE,consulting
5636,IE-CHAPMAN-MEDIA BUY,media
5060,PRINTING FOR CANVASS DOORHANGER,field
7147,PRODUCTION COST- MAIL PIECE 6,media
819,JFC TRAVEL EVENT SERVICES,travel
3688,TELEOHONE CALLS,polling
154,SOFTWARE LICENSE FEE,digital
5176,STAFF TIME FOR PRESS RELEASE (VIA DRAWDOWN),media
194,TELEPHONE VOTER COURT,field
6914,TV BUY AND PRODUCTION FOR SPECIAL GENERA,media
2759,PRINTING/POSTAGE: POSTCARD,administrative
4693,TELEVISION AD; TABLES,media
996,PERSONNEL SERVICE EQUIPMENT TRAVEL,travel
7159,PRINTING-BANNER,media
4606,DIRECT MAIL (ALSO OPPOSES JOHN DELANEY),fundraising
2150,CANVASS OPERATIONS - BEGINNING 07/28/2013,field
5250,IE-LANDRY-TELEMARKETING,fundraising
390,EVENT TURNOUT CALLS,field
1228,GRASSROOTS CANVASSING,field
1464,IE-BROWN-CANDIDATE BOOKS,consulting
1882,TELEPHONE BANK - VOTER DATA COLLECTION CALLS,polling
3555,PRINTER FLYERS,media
1809,IE-MANDEL-WALKING MAPS,field
138,STAFF TIME AND TRAVEL FOR FIELD PROGRAM; 9/1-9/30 (ESTIMATE),travel
1086,EVENT VENUE LEASE,administrative
7668,PAID CANVASS,field
120,LIST RENTALS,fundraising
233,ADVERTISING 10/19-24,media
822,TRAVEL CAR RENTAL,travel
6324,CONSULTING FOR VIDEO MOBILE BILLBOARDS,consulting
2882,VIDEO SHOOT - SUPREME COURT,media
447,VIDEO PRODUCTION,media
531,VIGOP DIRECT MAIL PRINTING MAILSHOP,fundraising
5158,ESTIMATE: ART,misc
724,PRODUCTION AND PLACEMENT FOR TV ADVERTISING,media
7087,DELIVERY OF MAILING PIECES,media
6657,TELEVISION PRODUCTION AND MEDIA BUY - DOOR,media
4055,STAFF TIME AND MILEAGE,travel
1402,IE-PRINTING/POSTAGE-YOUNG,administrative
4140,WEBSITE DEVELOPMENT - VOTEFORJOBS2012.COM,digital
1862,DOOR HANGERS/PALM CARDS,field
237,TV MEDIA PRODUCTION,media
815,VOTER CONTACT PHONE CALLS: CONDITION C',field
7551,PHONE BANK SALARY 8/22/12 TO 8/28/12,field
7338,EMAIL & STAFF FOR BUNDLING APPEAL,administrative
4848,IE-STENBERG-SURVEY CALLS,polling
346,LIST RENTAL CONSULTING,consulting
7715,ID-MOURDOCK-WEB SERVICES,digital
7871,TEXT MASSAGE PRODUCTION,digital
2924,IE-MASSIE-TELEMARKETING,fundraising
772,LEGAL AND COMPLIANCE,legal
4844,IE-MAFFEI-VOTER GUIDE,field
2585,IE-DIDIER-AUTOCALLS,field
5361,WEB AD CREATION & PRODUCTION (PRYOR IS OUT OF TOUCH),digital
2430,ESTIMATED COST FOR CANVASSING SERVICES FOR 10/7-10/13,field
2466,RADIO ADVERTISING 3/14 - 3/19 - SPECIAL,media
630,PROFESSIONAL SERVICES ACCOUNTING COM,legal
6759,RADIO ADVERTISING IE 5/1/12,media
7428,TV MEDIA PRODUCTION - 'GREAT FALLS',media
6296,UFCW FOR OBAMA WINDOW CLINGS,field
2111,TRAVEL FOR FIELD PROGRAM; 8/1 - 8/31,field
4850,CANVASSING EXPENSES.,field
4105,STATEWIDE MAILING,fundraising
7360,SALARIES AND BENEFITS $4.69 EA FOR 17 CANDIDATES,field
5382,INTERNET EXPENSE (EMAILS)-ESTIMATED COST,digital
682,"SALARY, TRAVEL AND FOOD FOR CANVASS",field
5868,INTERNET AD PRODUCTION COSTS,digital
463,FUNDRAISING TELEMARKETING,fundraising
4671,MAIL PRODUCTION AND POSTAGE - ESTIMATED COSTS,administrative
969,IE-ROSSI-EMAIL USAGE,digital
6898,BUYING RADIO AD TIME,media
1584,"STAFF TIME, PHONEBANKING, FOOD & SUPPLIES; 9/7 - 9/30",polling
3699,IN KIND:  CONTACTS FOR MAILINGS,field
6230,WEBSITE TEMPLATE,digital
192,DIGITAL MEDIA PRODUCTION,digital
7315,TV AD DISTRIBUTION,media
7931,MEDIA PLACEMENT (VA ACCOUNTABILITY),media
345,TV AD PRODUCTION & PLACEMENT: LISTENING,media
7375,IE-HANNA-RADIO PRODUCTION,media
5267,IE-BUMPER STICKERS,field
7928,VOLUNTEER EVENT SUPPLIES,administrative
3292,REIMBURSED EXPENSES - SEE MEMOS,administrative
4585,CABLE BUY (2/4 - 2/12/2016),media
5343,PROMOTE RUBEN GALLEGO FOR US HOUSE THROUGH TV AD TITLED HEALTH CARE,media
6964,"AD PLACEMENTS: JEWISH JOURNAL, ISRAPOST, JACKSONVILLE JEWISH, JEWISH PRESS OF TAMPA & PINELLAS",media
6978,IE-SASSE-MEDIA BUY,media
5955,RADIO AD BOOKING AND AIR TIME.,media
252,RETIREMENT PLAN,field
3369,STAFF TIME FOR MAILER,media
7908,NEW MEXICO MAILER (OUR CHOICE IS CLEAR) [COSTS ESTIMATED],media
5860,TV AD PROD/PLACE,media
6728,ESTIMATE: LIVE CALLS,administrative
2706,ADVERTISEMENT FOR CANVASSERS,field
6320,FLORIDA FIRST STAFF TIME (EXCEEDED $10K ON 9/14/2016),administrative
1399,10/24 TO 10/26 RADIO ADVERTISING,media
332,SALARY AND BENEFITS FOR PART-TIME STAFF TO HELP MANAGE INDEPENDENT EXPENDITURES,administrative
2886,PRINTING/PAPER,administrative
5418,ONLINE PRODUCTION,digital
4248,MAIL COSTS (PULLED FROM ADVANCE LINE 21),fundraising
5768,LIVE TELEPHONE CALLS,field
6916,MARRIAGE/RON PAUL - TV AD - PRODUCTION,media
4409,AFFORD TV AD PROD & AIR TIME PURCH,media
874,CONSULTING & DESIGN FOR GOTV FLYER (ESTIMATE),consulting
367,MEDIA CONSULTING FEE,consulting
4110,ADVERTISING PRODUCTION AND DESIGN,media
5412,DIRECT MAIL; ALSO OPPOSES BALDWIN,fundraising
885,FIELD STAFF EXPENSES,field
5195,DIRECT MAIL SERVICES; DISSEMINATION DATE 05/19/16,fundraising
3877,SOCIAL MEDIA PLACEMENT: HEARTBEAT,digital
889,TRAVEL STIPEND,travel
4202,DIRECT MAIL PRODUCTION & POSTAGE,fundraising
730,EQUIPMENT FOR CANVASSING / PHONE BANKS,field
3351,CREATIVE AND PRODUCTION FUNDRAISING MAIL,fundraising
835,POLLING RESEARCH,polling
3103,DIRECT MAIL PRODUCTION POSTAGE STRATEGY CONSULTING (ANDY TOBIN - AN ARIZONA LEADER),consulting
1845,TELEVISION PRODUCTION AND MEDIA BUY - CRAZY,media
1085,RADIO ADVERTISING 11/3-6,media
1353,INTERNET VIDEO AD PRODUCTION COSTS; ROGUES GALLERY,digital
1111,AUTOMATED & LIVE PHONE BANKS,polling
131,TECHNOLOGY SERVICES,administrative
35,PRE PAYMENT FOR FUTURE INDEPENDENT EXPENDITURE,administrative
1544,STAFF TIME FOR EMAIL COMMUNICATION,administrative
168,REIMBURSED EXPENSES SEE MEMOS,administrative
154,SERIES OF MAILERS,administrative
614,PRODUCTION AND TIME FOR TV AD TO AIR 10/15/12,media
1927,BUS TOUR SOUND AND STAGE,travel
1534,IE-FLAKE-VOTER ID,field
1953,IE-FLAKE-VOTER MAIL,field
1951,WEB AD,digital
2567,INDEPENDENT EXPENDITURE - MAILING,administrative
469,MEDIA PLACEMENT  BROADCASTCABLESATELLITE,media
880,TRAVEL EXPENSES FOR BUS TOUR,travel
6401,"INTERNET ADS, COMMUNICATIONS COSTS (FROM ADVANCE LINE 21)",digital
2773,EMAIL SUPPORTING CANDIDATE,digital
6414,12/6/2016 SIGN,field
308,FUNDRAISING CONSULTING SERVICES TRAVEL,consulting
4807,AUTOMATED CALLS TO PA MEMBERS,field
5896,TV MEDIA BUYS,media
761,RETAINER FOR LEGAL SERVICES,legal
553,POSTAGE - 2ND CD FLIER,administrative
3283,TV AD PLACEMENT: 'LAPDOG',media
4426,ADOVACY TELEPHONE CALLS,field
7592,IE-BEVIN-PRINTING,administrative
160,TELEVISION AND ONLINE ADVERTISING,digital
251,VOTER CONTACT COMMUNICATIONS,field
4033,ADVERTISING SPACE,media
1636,TV AD PRODUCTION: TRICK-SCHAUER,media
6663,"ELECTION 2012 - IUPAT FOR OBAMA, YARD SI",field
599,OFFICE SUPPLIES AND MAPS FOR CANVASS,field
4937,ADVERTISING - RADIO (ALSO SUPPORTS TED CRUZ),media
2948,IE-AYOTTE-MEDIA PRODUCTION,media
616,LEGAL TREASURY FEES,legal
4919,IE-WEST-DIRECT MAIL,fundraising
963,TRAVEL OFFICE SUPPLIES,travel
343,PAYROLL TAXES INSURANCE SERVICE,legal
6222,CANVASSER GREEN BAY,field
587,TV PRODUCTIONS COSTS,media
5193,PHONE SOLICITATIONS,fundraising
2223,"TV, CABLE MEDIA BUY - ESTIMATED COST",media
5570,EMAIL ADVERTISEMENT,digital
867,TRAVEL AND EVENT PLANNING SERVICES,travel
1536,WEBSITE DEVELOPMENT OPPOSING RUSS FEINGOLD.,digital
2158,LIST RENAL,fundraising
6235,5/7 TO 5/11 RADIO ADVERTISING,media
1114,TV MEDIA PRODUCTION:  DECEIVE,media
3978,STAFF TIME - ONLINE ADVOCACY,digital
409,DIRECT MAIL PRODUCTION,fundraising
246,DIGITAL CONSULTING SERVICES,consulting
639,BEVERAGES FOR EVENTS,misc
605,LEGAL COMPLIANCE SERVICES,legal
3173,RADIO AD PRODUCTION - FL - 8/27/12,media
2505,PRINTING - VOTE FOR CATHERINE CORTEZ MASTO,media
7392,DIGITAL ADVERTISING OF 'WORK',digital
4040,TV AD SPOT - RON PAUL'S WRONG POSITION ON MARRIAGE,media
1645,IE-MCDANIEL-DIRECT MAIL PRODUCTION,fundraising
4217,PLANNING AND CREATION OF AERIAL BANNERS,media
544,DIRECT MARKETING POSTAGE,fundraising
6172,MEDIA PRODUCTIION,media
3813,CAMPAIGN WRITER,consulting
4290,DIGITAL ADS PLACEMENT,digital
3092,VOTER OUTREACH & EXPENSES; 11/1 - 11/4 (ESTIMATE),field
6497,LODGING FOR VOLUNTEER EVENT (ALSO SUPPORTING MAGGIE HASSAN),travel
1727,10/15 ONLINE ADVERTISING,digital
6690,DISTRIBUTION OF 369 LETTER CARRIER FOR OBAMA T-SHIRTS TO NALC MEMBERS,field
1194,"ESTIMATE: STAFF HOUSING, 10/27-10/29",administrative
7137,POSTAGE CD 8 NON-MONTGOMERY COUNTY MAILER,media
700,LEGAL AND ACCOUNTING,legal
5388,MEDIA PRODUCTION AND AIRTIME PURCHASING,media
6700,TELEVISION PRODUCTION AND MEDIA BUY - WORKS,media
3328,PREPARED ADVERTISEMENT,media
3854,RADIO BUY - CANDIDATE SPECIFIC,media
6774,OFFICE SUPPLIES FOR CANVASS,field
6248,IE-ERNST-EMAIL LIST RENTAL,digital
3954,IE-HATCH-GRASSROOTS MGMT/TRAINING,field
2040,ESTIMATE: CANVASSING COSTS - VA,field
754,SOUND MUSIC EQUIPTMENT FOR CAMAPAIGN EVENTS,misc
2726,SALARY (W/ TAXES & BENEFITS) FOR WORK PRODUCING IES,administrative
6168,PRINT 4 COLOR POSTCARDS - ESTIMATED COST,administrative
586,TV BROADCAST,media
262,GENERIC STRATEGIC POLITICAL CONSULTANT,consulting
705,PROFESSIONAL SERVICES ACCOUNTING COMPL,legal
3249,DIRECT MAIL AND DIGITAL ADVERTISEMENT,digital
3039,MEDIA PRODUCTION - NY - 10/3/12,media
3878,TELEVISION PRODUCTION OF 'OLD FASHIONED HARD WORK' - ESTIMATE,media
2590,OUTBOUND VOTER ADVOCACY (10/15/12-10/19/12 ESTIMATE),field
6625,IE-INNIS-MEDIA BUY,media
6993,ADVERTISING - DIRECT MAIL - ALSO SUPPORTS SPURLINO,media
1095,MAGAZINE ARTICLE - POSTAGE,administrative
3603,MEDIA PURCHAE,media
5711,TV ADS SPECIAL GENERAL AIR 1/13+,media
2023,STAFF AND EMAIL EMC UPDATE,administrative
3465,"PRINTING, POSTAGE FOR DIRECT MAIL FUNDRAISER",fundraising
3966,TV ADVERTISING/PRODUCTION COSTS,media
4589,TV ADS 10/13+,media
7669,DATA PURCHASE/PORTAL SETUP/PHONE APPENDS (NON-CONTRIBUTION ACCOUNT),administrative
179,SUPPLIES,administrative
3524,ESTIMATED - PAYROLL AND BENEFITS,administrative
7603,VOTER TELEPHONE CONTACT (ALSO OPPOSES ROMNEY) (ESTIMATE),field
5827,HRC RALLY SIGNS - HOFSTRA 2016 DEBATE,field
4281,INDEPENDENT EXPENDITURE - RADIO BUY - REP. RAUL RUIZ,media
1948,ADVERTISING FOR EVENT,media
7405,PAC MAGAZINE AD PRODUCTION,media
6374,PERSUASION AND GOTV FIELD ACTIVITIES,field
2579,ESTIMATE OF APRIL MONTHLY EXTERNAL DEPLOYMENT COSTS,administrative
964,TRAVEL AND EVENT SERVICES,travel
943,TRAVEL LODGING AMEX SB23513914,travel
7915,DIRECT MAIL (ALSO OPPOSES MARK BEGICH ),fundraising
2057,IE-MCCONNELL-CATERING,fundraising
2469,RADIO AD PRODUCTION AND PLACEMENT,media
919,TRAVEL COSTS,travel
817,NEWSPAPER AD; GENERAL 2016 MISSOURI SENATE,media
170,MOBILE PHONE,digital
7527,STAFF TIME; 10/16 - 10/31 (ESTIMATE),administrative
4058,IE-MANDEL-OFFICE SUPPLIES-PRINTING SUPPLIES,administrative
2184,MAILING LIST BROKERAGE ESTIMATE OF NATIONWIDE DM OPPOSING HILLARY CLINTON. DMS SENT ON 1/8/16.,fundraising
1935,STAFF TIME & TRAVEL EXPENSES; 10/1 - 10/18 (ESTIMATE),administrative
3797,GOTV DOOR HANGERS,field
596,BROADCAST TELEVISION,media
7904,ESTIMATE OF AUGUST MONTHLY LIST RENTAL FEES,fundraising
7761,CREATIVE COST - MAIL PIECE 2,media
5039,RADIO ADS - RIGHT CHOICE FOR WOMEN - NON-CONTRIBUTION ACCOUNT,media
5994,IE-DESANTIS-DIRECT MAIL PRODUCTION,fundraising
654,PROFESSIONAL SERVICES ACCOUNTING COMPLIANCE,legal
7403,ESTIMATED AUGUST E-MAIL DEPLOYMENT COSTS,digital
748,FINAL PAYMENT ON LEGAL FEES,legal
2772,DIRECT MAIL PIECE 'DIFFERENCE' (MAILED ON 07/26/12),fundraising
5427,MEDIA PRODUCTION-NATIONALLY DISSEMINATED,media
7358,IE-CRUZ-ONLINE BLOG,digital
4063,IE-BEVIN-ONLINE PROCESSING,digital
2943,IE-PLUMMER-WALKING MAPS,field
2189,EVENT MANAGEMENT SERVICES,administrative
271,CONSULTING MANAGEMENT,consulting
666,TV PRODUCTION AND BUY,media
884,VOTER DATA AND OUTREACH CAPABILITY,polling
5656,PLACARDS,field
1316,PAID PHONE BANKING - VOTE FOR ANN KIRKPATRICK (ESTIMATED),polling
5624,TELEVISION PRODUCTION OF 'ONLY ONE' - ESTIMATE,media
6844,POSTAGE FOR MAILERS (STRICKLAND NEGATIVE 2),media
143,COMMIT TO VOTE CARDS,field
6262,IE-GARCIA-TRAVEL,travel
3253,JAN GIVEGREEN APPEAL PRINTING,administrative
413,MAIL PRODUCTION SERVICES,media
3195,ESTIMATED COST FOR CANVASSING SERVICES 4/8-4/19,field
6498,ESTIMATE - GIVEGREEN APPEAL - PROOFREADING,administrative
764,001 LEGAL SERVICES,legal
355,PAC FUNDRAISING CONSULTING FEE,consulting
5503,SUPPORT TRUMP ANTI STATE SEN. YEE MAILER,media
6355,DIRECT MAIL PRODUCTION-ALSO OPPOSE TRUMP,fundraising
2553,PRINTING AND SHIPPING - RALLY SIGNS,field
2491,OUTDOOR BILLBOARD ADVERTISING,media
7326,TV AD PRODUCTION AND BROADCAST TIME,media
