Purpose Code,Categorization
GRASSROOTS MATERIAL AND DISTRIBUTION,field
RADIO ADVERTISING OF 'EXPERT',media
RADIO ADVERTISING SCHEDULE,media
TV PRODUCTION COSTS & ONLINE MEDIA BUY,digital
ON-LINE BUY,digital
PRINT AD,media
TV AD PRODUCTION AND BUY,media
CREATIVE PRODUCTION AND MEDIA BUY,media
TELEVISION PRODUCTION AND MEDIA BUY - WORKS,media
TELEVISION PRODUCTION AND MEDIA BUY - JOB KILLER,media
CANVASSING SERVICES FROM 3/26-4/30,field
TV AD AIR BUY; PRODUCTION COSTS,media
MEDIA ADVERTISING BUY,media
TELEVISION ADVERTISING OF SKYROCKET,media
TV ADS AIRTIME - KENTUCKY,media
IE-MCCAIN-ONLINE ADS,digital
VOTER CONTACT MAILER,field
TV AD PLACEMENT: 'TRICK-HEINRICH',media
TELEVISION ADVERTISING & PRODUCTION OF 'FREE RIDE',media
PHONE SURVEY,polling
RADIO MEDIA PURCHASE,media
MEDIA BUY - 'GAS',media
"PRODUCTION, RENTAL AND SENDING OF EMAILS BEGINNING 10/31",digital
TV MEDIA BUY AND PRODUCTION,media
RADIO AND EMAIL ADVERTISING AND PRODUCTION,digital
FIELD CONSULTING SERVICES,field
TELEVISION PRODUCTION AND MEDIA BUY - CHARACTER,media
DIRECT MAIL PRODUCTION - ALSO OPPOSES KASICH CHRISTIE RUBIO AND TRUMP,fundraising
TELEVISION PRODUCTION AND MEDIA BUY - FAILURE,media
DIRECT MAILING ADVERTISING,fundraising
TELEVISION ADVERTISING OF BLACKBOARD,media
TV AD: CHANGED,media
AD PRODUCTION AND AIR TIME,media
TV ADS AIR 5/27+  FOR PRIMARY RUNOFF,media
IE-FLAKE-ONLINE ADS,digital
MEDIA DIGITAL AND TV ADVERTISING PRODUCTION COSTS,digital
TV AD SENIORS,media
ONLINE AD BUY AND CREATION,digital
ESTIMATE OF JULY MONTHLY LIST RENTAL FEES,consulting
TELEVISION PRODUCTION AND MEDIA BUY - RECORD OF FAILURE,media
TV AD REAL PEOPLE,media
POSTAGE FOR MAILER (ROSS KEEPING NC DOWN),administrative
ESTIMATE: ADDITION TO TV BUY,media
PAC MEDIA BUY 10/4-10/12/12,media
PERSUASION CANVASSES-ESTIMATED COSTS,field
ESTIMATED OCTOBER LIST RENTAL FEES AND ONLINE ADVERTISING,digital
ESTIMATED SEPTEMBER LIST RENTAL FEES AND ONLINE ADVERTISING,digital
ESTIMATE OF AUGUST MONTHLY LIST RENTAL FEES AND ONLINE ADVERTISING,digital
PLACEMENT AND PRODUCTION - MAILER,administrative
TV ADS 'AGAINST US',media
TV ADVERTISING OF 'MEANS',media
3 WISHES PLACEMENT TV,media
TELEVISON ADVERTISING OF 'EARTH',media
TV ADS 10/13+,media
CABLE ADVERTISING,media
'VERY GOOD'  AND 'FIRE MAFFEI' TELEVISION ADVERTISEMENTS,media
MEDIA BUY  - 'CAUGHT',media
CAMPAIGN MAIL,field
MEDIA BUY  - 'SKIPPED',media
DIGITAL ADS PLACEMENT,digital
TV AD - 'FALL',media
CANVASSING PROGRAM AND DOORHANGER DISTRIBUTION,field
BROADCAST AND CABLE TV BUY (HIGHWAY),media
"TV AND DIGITAL ADVERTISEMENT FRESH SUPPORTING ELISE STEFANIK, 9/24 - 10/1.",digital
"TV AND DIGITAL ADVERTISEMENT LONG OPPOSING AMERISH BERA, 9/5 - 9/15.",digital
"TV AND DIGITAL ADVERTISEMENT LIKE OPPOSING SEAN ELDRIDGE, 9/24 - 10/1.",digital
"TV AND DIGITAL ADVERTISEMENT JACKPOT AGAINST WOODY WHITE, 4/30 - 5/6.",digital
"TV AND ONLINE ADVERTISEMENT CAUGHT UP SUPPORTING MITCH MCCONNELL, 2/19 - 3/1.",digital
"TELEVISION AND DIGITAL MEDIA OPPOSING ANN KIRKPATRICK, MOST PROUD, MAY 25 - JUNE 3.",digital
TV ADS- COLORADO,media
"TV ADVERTISEMENT INVEST SUPPORTING DOUG OSE, 5/7 - 5/27.",media
"TV ADVERTISEMENT JUST LIKE OPPOSING ANDREW ROMANOFF, 95 - 9/18.",media
"TV ADVERTISEMENT DELIVERED SUPPORTING JOHN MCCAIN, 7/21 - 7/30.",media
"TV AND DIGITAL ADVERTISEMENT DYSFUNCTIONAL SPN SUPPORTING CORY GARDNER, 5/7 - 5/31.",digital
"TV AND DIGITAL ADVERTISEMENT ELIJAN A CORY GARDNER SUPPORTING CORY GARDNER, 10/8 - 10/26.",digital
"TV AND DIGITAL ADVERTISEMENT CRISIS SUPPORTING DAVID VALADAO, 5/7 - 5/17.",digital
PURCHASE OF MEDIA TIME FOR TV ADS RUNNING 9/6 - 9/8,media
TV AD - THANK YOU SENATOR COLLINS,media
DIRECT MAIL PRODUCTION AND POSTAGE -- THREE PIECES,fundraising
ESTIMATED SEPTEMBER EXTERNAL DEPLOYMENT LIST RENTAL AND ONLINE VOTER CONTACT,digital
ESTIMATED EXTERNAL DEPLOYMENT LIST RENTAL AND ONLINE VOTER CONTACT COSTS FOR AUGUST,digital
ESTIMATED OUTBOUND VOTER CONTACT CALLS FOR AUGUST,field
BROADCAST AND CABLE MEDIA BUY (PLEDGE),media
"ADVERTISING - DIGITAL - ALSO OPPOSES RUBIO, TRUMP",digital
MEDIA DEVELOPMENT AND PLACEMENT,media
MEDIA BUY - 'PENNY' 09/07/2010,media
MEDIA BUY - 'PENNY' 09/14/2010,media
ONLINE & TV AD BUY AND PRODUCTION COSTS,digital
ONLINE/DIGITAL ADVERTISING.,digital
IE-ALLEN-VOTER ID MAILING,field
MEDIA BUY (THE WALK),media
TELEVISION ADVERTISING FOR 'ONLY ONE',media
TV ADVERTISING - DISSEM 10/2/12,media
TELEVISION BUY,media
TELEVISION ADVERTISING OF 'AGENDA',media
ESTIMATED COST FOR CANVASSING SERVICES FOR 10/3-10/9,field
TV/INTERNET MEDIA BUY,digital
IE-GLENN-DIRECT MAIL PRODUCTION,fundraising
MEDIA BUY (TWO YEARS),media
TV AD PLACEMENT: TRICK-MCDOWELL,media
IE-SHANNON-MEDIA BUY,media
TRAVEL,travel
POSTAGE FOR MAILER (RECEIPT),administrative
TELEVISION ADVERTISING (PLACEMENT COST),media
IE-CASEY-CANDIDATE BOOKS,misc
IE-PRYOR-MEDIA BUY,media
TV ADVERTISEMENT 'DEBT',media
PAC DIRECT MARKETING,field
ESTIMATED COST: CANVASSING SERVICES 10/1-11/8,field
ONLINE DIGITAL BUYS,digital
"DIGIAL AD PLACEMENT, PRODUCTION COSTS",digital
TV AD OWES EVERYTHING,media
PARTNER TV AD BUY,media
SURVEY COSTS,polling
BUS TOUR EXPENSES,travel
TELEPHONE CALLS - ESTIMATE,media
MEDIA - TV COMMERCIAL,media
TV ADVERTISEMENT PLACEMENT: 'BEN SASSE FOR SENATE',media
MEDIA AD AND TV BUYS,media
PRODUCTION AND TIME BUY FOR TV MEDIA,media
TELEVISION ADVERTISING OF 'DECISIONS',media
"MAILING CREATIVE, PRODUCTION, AND DISTRIBUTION",media
CANVASS PAYROLL,field
MEDIA PLACEMENT-ALSO OPPOSE RUBIO,media
TV AD OUT FOR HIMSELF,media
"CREATIVE, PRODUCTION, MAIL",media
RADIO MEDIA - LOOPHOLE,media
RADIO MEDIA - COMMUNITY,media
PRINTING MAIL,administrative
'MAVERICK' ADVERTISEMENT,media
POSTAGE FOR MAILERS (ROSS KEEPING NC DOWN),administrative
RADIO & BUS SIGNS,media
PRINTING AND POSTAGE FOR MAIL PIECE,administrative
ADDITIONAL TV AD AIR BUY,media
ESTIMATE: SERIES OF MAILERS,administrative
TV AND CABLE COMMERCIALS,media
YARD SIGNS,field
TV AD PRODUCTION & PLACEMENT: REAL SOLUTIONS,media
EMAIL COMMUNICATION,digital
PAYMENT FOR SALARY AND OTHER CANVASS-RELATED EXPENSES FROM 7/1-7/31,field
PAYMENT FOR SALARY AND OTHER CANVASS-RELATED EXPENSES FROM 7/1-7/28,field
MEDIA PURCHASE LAYERS - PLACE,media
DIRECT MAIL PIECE,fundraising
IE-MACK-ONLINE ADS,digital
AUTOMATED CALLS,field
TV AD - CLEAN,media
MEDIA CONSULTING,media
RADIO BUY AND PRODUCTION,media
PRINTING OF MAIL PIECE,media
ON-LINE MEDIA BUY,digital
GOTV CALLS DEBATE MEDIA BUY DIGITAL TV,media
MEDIA BUY (TOUGH),media
"TELEVISION/RADIO AD AIR BUY, PRODUCTION COSTS",media
AD,media
TV AD - RUNNING,media
TELEVISION PRODUCTION AND CONSULTING; ALSO SUPPORTS NEWT GINGRICH,media
TV ADVERTISING OF 'DISASTROUS',media
"TV ADVERTISEMENT ERNST ENDORSEMENT SUPPORTING JONI ERNST, 10/20 - 11/4.",media
TELEVISION ADVERTISING OF 'FREE RIDE',media
DOOR TO DOOR VOTRE CONTACT,field
MEDIA PLACEMENT AND PRODUCTION - TELEVISION AD- HAD ENOUGH,media
MEDIA BUY (BACK),media
WEB AD PLACEMENT & PRODUCTION,digital
CREATION AND PLACEMENT OF SOCIAL MEDIA ADS RUNNING 10/26 - 11/1,digital
IE-DONNELLY-ONLINE ADS,digital
IE-MOURDOCK-ONLINE ADS,digital
ADD TO TV AD AIR BUY REPORTED ON 6/7/12,media
ONLINE AD COSTS,digital
MEDIA PRODUCTION & PLACEMENT,media
TELEVISION MEDIA BUY AND PRODUCTION,media
MEDIA PLACEMENT-NATIONALLY DISSEMINATED/ALSO OPPOSES TRUMP AND CRUZ,media
TELEVISION ADVERTISEMENT - 'BALANCED APPROACH',media
BUS RENTAL,travel
TV/MEDIA PLACEMENT EXTENSION,media
MEDIA TIME BUY & PRODUCTION EXPENSE,media
TELEVISION ADVERTISING OF 'GLITZ',media
VOTER CONTACT CANVASSING,field
DOOR-TO-DOOR; TELEPHONE CALLS AND OTHER GOTV EFFORT,field
TV SPOTS,media
TELEVISION ADVERTISING OF 'SUPPLIES',media
POSTAGE FOR MAILERS (OBAMACARE),administrative
TV OVERLAY MEDIA BUY,media
IE-FLAKE-VOTER MAIL,digital
IE-MOURDOCK-VOTER MAIL,media
PERSUASION PHONE BANKS,polling
PROMISES TV AIR TIME PURCHASE,media
BETS TV PRODUCTION AND MEDIA PURCHASE,media
:BETS: TV PRODUCTION AND MEDIA PURCHASE,media
CANVASSING (NY),field
MEDIA BUY/    PRODUCTION COSTS (MI),media
PHONE CALLS (ESTIMATED COST),field
ONLINE ADVERTISEMENTS,digital
TV AD PRODUCTION & PLACEMENT: CONFIDENCE,media
MEDIA BUY; ALSO OPPOSED RICK SANTORUM 4/10 - 4/11,media
TV ADVERTISING & PRODUCTION OF 'KNOW',media
AD PRODUCTION FOR TV AND RADIO; MEDIA BUYS FOR TV CABLE & RADIO IN PORTLAND ME,media
PRINTING AND SHIPPING - T-SHIRTS,administrative
IE-MANDEL-ONLINE ADS,digital
AD BROADCAST AND CABLE MEDIA BUY,media
CABLE TV AD PRODUCTION AND PLACEMENT,media
TV AD PLACEMENT: 'HYPOCRITE',media
POSTAGE FOR MAILER (KANDER OBAMACARE),administrative
WEBSITE DEVELOPMENT/WEB ADVERTISEMENTS,digital
WEBSITE DEVELOPMENT/WEB ADVERTISEMENTS SHERRODBROWNISNTWORKING.COM,digital
TV & ONLINE AD BUY & PRODUCTION COSTS,digital
IE-OBAMA-MAILING,administrative
"ESTIMATED COST: SALARY, BENEFITS & OTHER CANVASS-RELATED EXPENSES",field
VOTER RALLY,field
TELEVISION BUY AND PRODUCTION COST - DOME,media
TELEVISION AD MEDIA BUY - KAINE,media
"MAIL DESIGN/LAYOUT, PRINTING, MAIL SERVICEL, POSTAGE",administrative
POSTAGE - MAIL PIECE 1,administrative
DESIGN AND MAILING,administrative
MEDIA PRODUCTION & PLACEMENT - ORIGINAL REPORT WAS AN ESTIMATE,media
TV AD - SPEW,media
INTERNET ADVERTISING AND WEBSITE,digital
VOTER CONTACT CALLS OVER SERVERAL WKS,field
MEDIA BUY - NY 9/7/12,media
CANVASSING LITERATURE DESIGN AND PRINTING,field
IE-MANDEL-VOTER MAIL,administrative
FUTURE TV ADVERTISEMENT,media
TELEVISION ADVERTISING OF 'SWITCH',media
WEB AD PLACEMENT (FIRE UDALL),digital
"TV AND DIGITAL MEDIA OPPOSING KATIE MCGINTY, SO MAY 20 - JUNE 13.",digital
IE-WARD-ONLINE ADS,digital
TV AND DIGITAL MEDIA ADVERTISEMENT US IN SUPPORT OF MARTHA ROBY 2/17 - 3/1.,digital
"TV AND DIGITAL MEDIA EFFECTIVE CONSERVATIVE IN SUPPORT OF BRADLEY BYRNE, 2/17 - 3/1.",digital
TV AND DIGITAL ADVERTISEMENT VOTE FOR ERNST TV 15 SUPPORTING JONI ERNST 10/30 - 11/4.,digital
"TV AND DIGITAL ADVERTISEMENT HERE IN MONTANA SUPPORTING STEVE DAINES, 4/30 - 5/27.",digital
"TV AND DIGITAL ADVERTISEMENT INDEPENDENT SUPPORTING JOHN BARROW, 10/30 - 11/4.",digital
"TV, RADIO AND DIGITAL MEDIA ADVERTISEMENT REFORMER IN SUPPORT OF DAVE JOYCE, 3/1 - 3/15.",digital
"TV AND DIGITAL ADVERTISEMENT ENDORSEMENT SUPPORTING MIKE SIMPSON, 4/16 - 5/13.",digital
TELEVISION BUY AND PRODUCTION COST - PROUD,media
TELEVISION BUY AND PRODUCTION COST - STANDING,media
TELEVISION ADVERTISING & PRODUCTION OF REFUSE,media
TELEVISION BROADCAST,media
TELEVISION ADVERTISING OF REFUSE,media
TELEVISION ADVERTISING OF 'REFUSE',media
TELEVISION PRODUCTION AND MEDIA BUY - CRAZY,media
TV ADDS RUN 5/13+,media
"TV AND DIGITAL ADVERTISEMENT ELIJAN A DAVID VALADAO SUPPORTING DAVID VALADAO, 10/8 - 10/26.",digital
"TV AND DIGITAL ADVERTISEMENT ELIJAN A MARTHA MCSALLY SUPPORTING MARTHA MCSALLY, 10/8 - 11/4.",digital
ESTIMATED ONLINE VOTER CONTACT FOR JULY,digital
ESTIMATED ONLINE VOTER CONTACT FOR JUNE,digital
ESTIMATED OUTBOUND VOTER CONTACT CALLS FOR JULY,media
DIGITAL MEDIA BUY AND PRODUCTION (ESTIMATED AMOUNT),media
DIGITAL ADVERTISING (ESTIMATE),digital
CANVASSING OPERATIONS,field
MEDIA PLACEMENT - ALSO OPPOSES TRUMP; NATIONAL CABLE BUY ON FOX NEWS CHANNEL,media
MEDIA RADIO ADVERTISING BUY AND PRODUCTION COSTS,media
MEDIA BUY FOR TELEVISION ADS 9/17 - 9/19,media
IE-STRICKLAND-DIGITAL ADS-ESTIMATED,digital
TELEVISION AD PRODUCTION & MEDIA BUY,media
MEDIA BUY - NY 10/3/12,media
TELEVISION ADVERTISING FOR 'SCRATCH',media
RADIO PRODUCTION,media
IE-BROWN-CANDIDATE BOOKS,administrative
RADIO ADVERTISING OF 'SCRATCH OFF',media
RADIO AND CABLE AD BUY,media
TELEVISION ADVERTISING OF 'PUMPED',media
RADIO MEDIA BUY - REAL - PLAN - DISSEMINATED 10/28/2016,media
IE-CARMONA-ONLINE ADS,digital
ADVERTISING - PRODUCTION (ESTIMATE),media
MAIL PRODUCTION COSTS,administrative
MEDIA PLACEMENT; ALSO SUPPORTS CLAY HIGGINS,media
"DIRECT MAIL POSTAGE, PRINTING, AND MAILING",fundraising
MAILER PRODUCTION,administrative
"DIRECT MAIL POSTAGE, PRINTING, AND SALES TAX",fundraising
IE-NELSON-DIRECT MAIL,fundraising
LIST RENTAL FEES,field
AGAIN PLACEMENT TV PURCHASE,media
"PRODUCTION, PRINTING, AND POSTAGE FOR MAILER",media
TV ADVERTISING OF 'DELIVERY ROB',media
REIMBURSE STAFF SALARIES AND BENEFITS,administrative
MEDIA BUY FOR SPANISH LANGUAGE AD,media
VOTER CONTACT CALLS OVER THE NEXT FEW WEEKS,field
CABLE TV BUY (HIGHWAY),media
TELEVISION ADVERTISING AND MEDIA BUY: ALSO SUPPORTS JONI ERNST,media
ADVERTISING - PLACEMENT OF WEB ADS (NEW IDEAS & TICK TOCK),digital
TV AD 'PREY',media
ONLINE AD,digital
DIGITAL/ONLINE AD,digital
"DESIGN, PRINTING AND POSTAGE FOR MAIL",administrative
TV ADS 'ROOSTER',media
IE-DONNELLY-CANDIDATE BOOKS,administrative
MEDIA BUY/PRODUCTION COSTS (MI),media
POLITICAL ADVERTISING EXPENSES,media
"PRINTING, DESIGN, DATA, POSTAGE AND CONSULTING",consulting
VOTER MAIL,field
TELEVISION ADVERTISING OF STRUGGLE,media
TV AD PLACEMENT: COAL VA,media
PRINTING/POSTAGE,administrative
RADIO AD PRODUCTION,media
TELEVISION ADVERTISEMENT AND PRODUCTION,media
IE-NELSON-ONLINE ADS,digital
ESTIMATED COST:  T-SHIRTS,field
TV AD 'PRIORITIES',media
POSTAGE FOR MAILERS (PAY MORE PATRICK),administrative
TELEVISION AD; TABLES,media
PAYMENT FOR CANVASSING SERVICES BEGINNING ON 9/19,field
PAYMENT FOR CANVASS SERVICES STARTING ON 9/18,field
MEDIA PLACEMENT-BILLBOARDS,media
DIRECT MAILING,fundraising
SOCIAL MEDIA PLACEMENT: PROMISES,digital
DEVELOPMENT OF TV ADVERTISING,media
POSTCARD MAILER,administrative
TV AND CABLE BUY IN ROANOKE (DUTY),media
CANVASSER PAYROLL,field
MEDIA - TV ADVERTISEMENT PRODUCTION.,media
MEDIA AND PRODUCTION COSTS,media
IN-KIND - TELEVISION ADVERTISEMENT,field
WEB AD PLACEMENT (FIRE PRYOR),digital
MEDIA PLACEMENT FOR NATIONAL CABLE MEDIA BUY ON FOX CHANNELS,media
RADIO AD PRODUCTION & PLACEMENT: HACE 4 ANOS,media
PRINTING AND POSTAGE OF MAIL PIECE-ESTIMATED COSTS,media
TV/MEDIA PLACEMENT (WHAT),media
TV AD PLACEMENT 'TRICK-EDWARDS',media
"PRODUCTION, DESIGN AND POSTAGE FOR LITERATURE",media
POLLING AND SURVEY RESEARCH,polling
INTERNET COMMUNICATIONS,administrative
MAILER (ROSS KEEPING NC DOWN),media
"TV AND DIGITAL ADVERTISEMENT ISN'T IT TIME SUPPORTING BOB DOLD, 8/22/14 - 9/13/14.",digital
"TV AND DIGITAL ADVERTISEMENT ISN'T IT TIME AGAINST BRAD SCHNEIDER, 8/22/14 - 9/13/14.",digital
TV BUY AND PRODUCTION DIST 2/24,media
WEBSITE AND ONLINE VIDEO PRODUCTION & PLACEMENT,digital
TV ADS 10/20+,media
TV AD PLACEMENT: DAVID,media
TV AD PLACEMENT: NIKKI,media
WEB AD PLACEMENT (FIRE BRALEY),digital
DRTV MEDIA PLACEMENT,media
TV AD PLACEMENT 'TRICK-HILL',media
POSTAGE - MAIL PIECE 3,administrative
POSTAGE - MAIL PIECE 4,administrative
POSTAGE - MAIL PIECE 5,administrative
DIGITAL ADVERTISEMENTS,digital
ESTIMATED COST FOR CANVASSING SERVICES FOR 9/12-9/18,field
ADDITIONAL MEDIA PLACEMENT,media
TELEVISION BUY AND PRODUCTION COST - ENERGY EQUALS JOBS,media
"WAGES, TAXES, INSURANCE FOR CANVASSERS",field
FACEBOOK ADS,digital
CABLE MEDIA BUY,media
PAC VOTER ID PROGRAM,field
TV ADVERTISING & PRODUCTION OF 'DISASTROUS',media
TELEVISION PRODUCTION AND MEDIA BUY - TAX PAIN,media
TV AD PRODUCTION AND BROADCAST BUY. AD OPPOSES MARK PRYOR AND AIRS OCTOBER 10TH TO OCTOBER 16TH.,media
MEDIA BUY  - 'WORKING',media
SOCIAL MEDIA PRODUCTION & PLACEMENT: FLORIDA ENDORSEMENT,digital
TELEVISION PRODUCTION AND MEDIA BUY,media
ONLINE ADVERTISING-ESTIMATED COSTS,digital
ESTIMATED COST FOR CANVASSING SERVICES FOR 9/26-10/2,field
TV AD CHOICE,media
IE-CURBELO-ONLINE ADS-ESTIMATED,digital
TV AD PRODUCTION COSTS,media
"DIRECT MAIL, POSTAGE, SHIPPING & OVERS",fundraising
TELEVISION/RADIO ADVERTISING & PRODUCTION,media
STRATEGIC CONSULTING BUS RENTAL AND  PHONE SERVICES FOR BATTLEGROUND STATES GOTV & BUS TOUR,consulting
IE-DOLD-MEDIA BUY,media
PAYMENT FOR CANVASSING SERVICES BEGINNING ON 9/18,field
PREVIOUSLY REPORTED MEDIA BUY WITH NEW DISSEMINATION DATE  - ESTIMATE,media
IE-MCGINTY-ONLINE ADS-ESTIMATED,digital
IE-DUCKWORTH-ONLINE ADS-ESTIMATED,digital
FLORIDA FIRST MAILERS,field
VOTER CONTACT CALLS OVER THE NEXT TWO WEEKS,field
ADVERTISING PRODUCITON AND AIR TIME,media
IE-MACK-VOTER MAIL,field
IE-CURBELO-MEDIA BUY,media
TV & ONLINE ADS 'STRUGGLING',digital
MEDIA - TV AD,media
SIGNS,field
DOOR TO DOOR VOTER CONTACT (ESTIMATE),field
MAILING COSTS,administrative
PAC PRINTING,administrative
RADIO ADS (NON-CONTRIBUTION ACCOUNT),media
TV ADVERTISING - DISSEM 10/30/12,media
FIELD STAFF EXPENSES,field
POSTAGE - MAIL PIECE 6,administrative
TEXTING,digital
IE-CRUZ-EMAIL LIST RENTAL,digital
RALLY ACTIVITIES,field
ONLINE ADVERTISING -- PRODUCTION AND PLACEMENT,digital
MEDIA BUYS,media
TV ADS 'WASHINGTON WAY',media
"TV AND DIGITAL ADVERTISEMENT DYSFUNCTIONAL SPANISH SUPPORTING CORY GARDNER, 10/23 - 11/4.",digital
SEPTEMBER CANVASSERS ESTIMATED,field
PERSUASION CALLS - ESTIMATED COST,field
DIGITAL TV FIELD OPERATIONS FOR NATIONAL GOTV,digital
AD PRODUCTION COSTS,media
WEB VIDEO ADVERTISEMENT,digital
IE-ERNST-EMAIL LIST RENTAL,digital
IE-BROWN-MEDIA PRODUCTION/MEDIA BUY,media
EVENTS,misc
FIELD CONSULTING,field
DOOR-TO-DOOR CANVASS,field
PRINT ADVERTISEMENT,media
SOCIAL MEDIA ADVERTISING,digital
STAFF/MANAGEMENT CONSULTING/TRAVEL,consulting
TELEVISION BUY AND PRODUCTION COST - HEALTHCARE,media
TELEVISION PRODUCTION AND MEDIA BUY - DOOR,media
ON-LINE ADS.,digital
MEDIA PRODUCTION & PLACEMENT - HILLARY'S INBOX,media
INTERNET ADVERTISING AND CONSULTING; ALSO OPPOSES MITT ROMNEY,digital
CANVASSER,field
TV ADVERTISING & PRODUCTION OF SERVED,media
OUTDOOR AD PRODUCTION & PLACEMENT: BILLBOARDS,media
MATERIALS - DISSEMINATED 09/26/2016,field
PAYROLL ESTIMATE FOR CANVASSERS 10/1-10/19,field
RADIO AD KEYS,media
PAYMENT FOR CANVASSING SERVICES,field
IE-SMITH-VOTER MAIL,field
POSTAGE FOR MAILER (ENERGY),administrative
WEB AD,digital
TELEVISION ADVERTISING OF 'TAKES CARE',media
TELEVISION ADVERTISING OF 'DON'T BE FOOLED',media
RADIO ADVERTISING; ALSO SUPPORTS NEWT GINGRICH,media
KIDS ONLINE AD PLACEMENT,digital
TELEVISION ADVERTISING FOR 10/07/13 WYOMING AD,media
RADIO ADS/PRODUCTION AND DISTRIBUTION,media
CATHERINE AGAINST NEVADA DIGITAL ADVERTISEMENT (EXCEEDED $10K ON 9/15/2016),digital
IE-FLAKE-VOTER CALLS,field
IE-CASEY-DIRECT MAIL,fundraising
"TV AND DIGITAL ADVERTISEMENT YOU KNOW SUPPORTING DAN BENISHEK, 5/7 - 5/20.",digital
"TV AND DIGITAL ADVERTISMENT FAVRE ENDORSEMENT SUPPORTING THAD COCHRAN, 6/18/14 - 6/24/14.",digital
"TV AND ONLINE ADVERTISEMENT COURTS AGAINST BRYAN SMITH, 2/28 - 3/10.",digital
SOCIAL MEDIA PLACEMENT: JANESVILLE,digital
TV & RADIO ADS,media
TRUST RICK AD,media
"RADIO, TV & DIGITAL AD PRODUCTION & BUY",digital
TV ADS RUN 5/13+ SPECIAL GENERAL,media
TV AD RUNNING AGAIN,media
TV AD PRODUCTION AND BROADCAST TIME,media
ESTIMATED OUTBOUND VOTER CONTACT CALLS,field
ADVERTISING-PLACEMENT OF WEB ADS (SO MANY THINGS & REPLACE),digital
BROADCAST & DIGITAL AD.,digital
'TRUST RICK' AD,media
ADVERITSING - DIGITAL,digital
"ADVERTISING - TV -ALSO OPPOSES RUBIO, TRUMP",media
DIGITAL AD PLACEMENT PRODUCTION COSTS TOUGH GUY,digital
DIGITAL TV AD BUY,digital
DIGITAL MEDIA BUY AND PRODUCTION EXPENSE,digital
CABLE MEDIA FLIGHT 10/17-10/23 'SERVICE',media
"MEDIA SUPPORTING JOHN MCCAIN, 8/23 - 8/30.",media
MEDIA BUY (TV AD),media
IE-OPPOSE WARD-ONLINE ADS,digital
"TV, CABLE MEDIA BUY - ESTIMATED COST",media
POSTAGE FOR MAILERS (KANDER HEALTHCARE AND OBAMACARE),administrative
MEDIA - TV AD BUY,media
2/10-2/23 CABLE ADVERTISING,media
TV ADVERTISING OF 'NO FRIEND',media
MEDIA BUY-NY,media
"TV, DIGITAL, PHONE AND MAIL CAMPAIGNS SUPPORTING ROGER MARSHALL, JULY 26 - AUGUST 2.",digital
"TV, DIGITAL, PHONE AND MAIL CAMPAIGNS OPPOSING TIM HUELSKAMP, JULY 26 - AUGUST 2.",digital
TV AD PLACEMENT: TRICK-CHILDERS,media
ESTIMATED COST FOR CANVASSING SERVICES FOR 9/5-9/11,field
ONLINE ADVERTIISING,digital
RADIO ADS + PRODUCTION,media
TV AD PROD/PLACE,media
SLATE MAIL,administrative
TELEVISION ADVERTISING OF 'UNTRUSTED',media
RADIO AD FOUGHT,media
MEDIA BUY; ALSO SUPPORTS BRIAN WHELAN,media
RADIO ADS 10/6+,media
DIRECT MAIL SERVICES-ALSO OPPOSE CLINTON,fundraising
VOTER CONTACT SVCS - PUBLICATIONS/VOTER CANVASSING,field
"MEDIA BUY - TV, RADIO, BROADCAST",media
WEBSITE AND ONLINE VIDEO PLACEMENT,digital
ADDITION TO TV BUY,media
TV AD BUY/PRODUCTION,media
TV AND DIGITAL AD PRODUCTION COSTS,digital
DIGITAL WEB AD (SPECIAL INTERESTS),digital
RADIO PRODUCTION AND PLACEMENT,media
IE-COFFMAN-MEDIA BUY,media
AUTOMATED PHONE CALLS,field
TV AD PRODUCTION AND AIR TIME,media
PAID CANVASS,field
VOTER ID CALL CENTERS,field
ESTIMATED RADIO AD BUY,media
IE-MANESS-EMAIL LIST RENTAL,digital
TV AD MEDIA BUY,media
PRINTING OF CANVASS LITERATURE,field
BROADCAST TV BUY (RESPECT),media
IE-MCCAIN-DIRECT MAIL,fundraising
ESTIMATED COST FOR CANVASSING SERVICES FOR 9/19-9/25,field
VOTER OUTREACH 'EARLY VOTE FOR BEGICH',field
WEB VIDOES,digital
ESTIMATED COST FOR ROBOCALLS,field
TV AD - FUND,media
"FEDERAL TV AND CABLE AD DEVELOPMENT, PRODUCTION AND AD BUY",media
WEBSITE DEVELOPMENT,digital
LATINO TELEVISION AD,media
EVENT EXPENSES,field
TV ADS 'INHERITED',media
RADIO ADS/DISTRIBUTION,media
BILLBOARD ADVERTISING,media
GOTV CALLS (11/03 - 11/05/2012),field
RADIO AND TELEVISION ADVERTISING AND PRODUCTION,media
PROJECTED PAYROLL FOR CANVASSERS 9/1/16-9/31/16 NC,field
POSTAGE FOR MAILERS (MCGINTY SUPREME COURT),administrative
OCTOBER CANVASSERS ESTIMATED,field
DIGITAL MEDIA PRODUCTION & PLACEMENT - NC VOTING,digital
MEDIA BUYS (TORE),media
TELEVISION ADVERTISING OF CHARTER.,media
TELEVISION PRODUCTION AND MEDIA BUY - WRONG WAY,media
TELEVISION PRODUCTION AND MEDIA BUY - CLOSED,media
MEDIA BUY AND PRODUCTION (SERVED),media
DIGITAL AD PRODUCTION,digital
